Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Standing Next to You,Jung Kook,1,41262351,n/a,https://www.youtube.com/watch?v=UNo0TG9LwwI
2,n/a,Now And Then,The Beatles,1,32329655,n/a,https://www.youtube.com/watch?v=Opxhh9Oh3rg
3,1,Según Quién,Maluma & Carin Leon,8,29885990,0.05%,https://www.youtube.com/watch?v=69lO08ar-mI
4,2,Si No Estás,iñigo quintero,6,25535655,0.02%,https://www.youtube.com/watch?v=vldYYjCQ7jc
5,3,Chaleya,Arijit Singh & Shilpa Rao,13,21652196,-0.05%,https://www.youtube.com/watch?v=VAdGW7QDJiU
6,4,LALA,Myke Towers,19,20018838,-0.12%,https://www.youtube.com/watch?v=BVdngsy95mY
7,7,EL AMOR DE SU VIDA,Grupo Frontera & Grupo Firme,14,19330019,0.01%,https://www.youtube.com/watch?v=Vr1M_l-1wjc
8,8,Lollipop,Darell,5,19277638,0.03%,https://www.youtube.com/watch?v=5ospiemGG3M
9,5,Water,Tyla,5,18540088,-0.07%,https://www.youtube.com/watch?v=XoiOOiuH8iI
10,29,HARLEY QUINN,Fuerza Regida & Marshmello,2,18231933,0.33%,https://www.youtube.com/watch?v=YeJ6GyjHVJA
11,49,Que onda,Shot By AJD,9,17269316,0.53%,https://www.youtube.com/watch?v=PGKKLgFxcxA
12,13,La Bebe (Remix),Yng Lvcas & Peso Pluma,39,16981382,0%,https://www.youtube.com/watch?v=3mchJ-EW9rM
13,26,Seven (feat. Latto),Jung Kook,17,16621827,0.17%,https://www.youtube.com/watch?v=QU9c0053UAU
14,10,QLONA,KAROL G & Peso Pluma,13,16530755,-0.1%,https://www.youtube.com/watch?v=3Z_bUjdKKQU
15,9,Paint The Town Red,Doja Cat,13,16314332,-0.12%,https://www.youtube.com/watch?v=m4_9TFeMfJE
16,27,Guli Mata (feat. Rajat Nagpal),Saad Lamjarred & Shreya Ghoshal,17,16260476,0.15%,https://www.youtube.com/watch?v=Gp1RNYBckBs
17,14,Daqui pra Sempre (Live),Manu Bahtidão & Simone Mendes,6,16036600,-0.03%,https://www.youtube.com/watch?v=2FNiAPNK4Ig
18,20,3D,Jung Kook & Jack Harlow,6,15692867,0.05%,https://www.youtube.com/watch?v=mHNCM-YALSA
19,11,Heeriye,Jasleen Royal & Arijit Singh,13,15247491,-0.15%,https://www.youtube.com/watch?v=RLzC55ai0eo
20,15,You & Me,JENNIE,5,15191974,-0.08%,https://www.youtube.com/watch?v=eQNHDV7lKgE
21,12,唱,Ado,7,15017378,-0.13%,https://www.youtube.com/watch?v=pgXpM4l_MwI
22,51,Ateşe Düştüm,Mert Demir,3,14984794,0.38%,https://www.youtube.com/watch?v=RQmXet6kZ-Y
23,25,PERRO NEGRO (feat. Feid),Bad Bunny,4,14871753,0.03%,https://www.youtube.com/watch?v=O2lC_oBI7DU
24,19,MI EX TENÍA RAZÓN,KAROL G,13,14145944,-0.08%,https://www.youtube.com/watch?v=VBcs8DZxBGc
25,23,アイドル,YOASOBI,29,13889290,-0.06%,https://www.youtube.com/watch?v=ZRtdQ81jPUQ
26,18,Primera Cita,Carin Leon,20,13831256,-0.1%,https://www.youtube.com/watch?v=jhMiIUb2GEA
27,16,Dhaniya Ae Jaan,Pawan Singh & Shilpi Raj,7,13816741,-0.16%,https://www.youtube.com/watch?v=1_XHsW4SzLI
28,46,Tu hai kahan,AUR,3,13585666,0.19%,https://www.youtube.com/watch?v=AX6OrbgS8lI
29,22,Pagli Dekhave Agarbatti,Neelkamal Singh,5,13446794,-0.09%,https://www.youtube.com/watch?v=W3y-tkuLhvY
30,42,Reggaeton Champagne,Bellakath & Dani Flow,4,13376315,0.12%,https://www.youtube.com/watch?v=h6qbOjac8qo
31,21,Let's Go 4 (feat. Mc Davi MC Don Juan Mc Kadu MC GH do 7 MC GP & TrapLaudo),MC PH & MC Ryan SP & Mc Luki & DJ GBR & Mc IG,8,13049865,-0.12%,https://www.youtube.com/watch?v=zG5gWncAhls
32,40,Softly,Karan Aujla & Ikky,3,12515856,0.02%,https://www.youtube.com/watch?v=cWMxCE2HTag
33,28,Diamonds,Rihanna,34,12510340,-0.09%,https://www.youtube.com/watch?v=lWA2pjMjpBs
34,38,TQG,KAROL G & Shakira,37,12468139,0%,https://www.youtube.com/watch?v=jZGpkLElSu8
35,62,शीला हउ का (feat. Mani Meraj & Vannu D Great),Chand Jee & Shilpi Raj,4,12465678,0.34%,https://www.youtube.com/watch?v=Y7TbD84amhY
36,33,LADY GAGA,Peso Pluma & Gabito Ballesteros & Junior H,20,12463506,-0.06%,https://www.youtube.com/watch?v=3Wnso2A4PZE
37,32,MONACO,Bad Bunny,4,12438498,-0.07%,https://www.youtube.com/watch?v=_PJvpq8uOZM
38,31,Qué Onda Perdida,Grupo Firme & Gerardo Coronel,31,12425151,-0.07%,https://www.youtube.com/watch?v=1WPWhghNipM
39,39,ANDO,Jere Klein & Gittobeatz,6,11985269,-0.03%,https://www.youtube.com/watch?v=LfwVGlW237o
40,55,Khalasi,Aditya Gadhvi & Achint,3,11796192,0.13%,https://www.youtube.com/watch?v=t7wSjy9Lv-o
41,53,Janze,Xamdam Sobirov,11,11572955,0.08%,https://www.youtube.com/watch?v=I6DbIrT1ppY
42,37,Flowers,Miley Cyrus,43,11522133,-0.08%,https://www.youtube.com/watch?v=G7KNmW9a75Y
43,34,Perfect Night,LE SSERAFIM,2,11382101,-0.13%,https://www.youtube.com/watch?v=hLvWy2b857I
44,36,un x100to,Grupo Frontera & Bad Bunny,30,11377282,-0.12%,https://www.youtube.com/watch?v=3inw26U-os4
45,35,Everybody Wants To Rule The World,Tears for Fears,22,11230364,-0.13%,https://www.youtube.com/watch?v=aGCdLKXNF3w
46,43,greedy,Tate McRae,6,11171400,-0.05%,https://www.youtube.com/watch?v=To4SWGZkEPk
47,45,AMARGURA,KAROL G,27,10862259,-0.07%,https://www.youtube.com/watch?v=fEWhm_TVvUw
48,47,La Morocha,Luck Ra & BM,9,10696402,-0.06%,https://www.youtube.com/watch?v=mo7MpQZRd5Q
49,41,Dentro da Hilux,Luan Pereira & MC Ryan SP & Mc Daniel,10,10435461,-0.13%,https://www.youtube.com/watch?v=HZli8pArLSE
50,48,Kalkatiya Raja,Pawan Singh,6,10283091,-0.09%,https://www.youtube.com/watch?v=mmk98CRv7Jg
51,n/a,All I Want For Christmas Is You,Mariah Carey,50,10257705,n/a,https://www.youtube.com/watch?v=aAkMkVFwAoo
52,6,Mal Hombre,Kim Loaiza,2,9793331,-0.49%,https://www.youtube.com/watch?v=gVCGuhyUdgs
53,24,Kalaastar,Yo Yo Honey Singh & Rony Ajnali & Gill Machhrai,4,9656346,-0.33%,https://www.youtube.com/watch?v=5oExKMYIE9U
54,54,Por Mi México (feat. Dharius C-Kan MC Davo & Neto Peña),Lefty Sm & Santa Fe Klan,10,9275489,-0.12%,https://www.youtube.com/watch?v=HEi7DYfYIXg
55,77,One Of The Girls,The Weeknd & JENNIE & Lily-Rose Depp,3,9173596,0.08%,https://www.youtube.com/watch?v=Mx92lTYxrJQ
56,57,LOU LOU,Gabito Ballesteros & Natanael Cano,2,9057986,-0.07%,https://www.youtube.com/watch?v=NevPuZ8pJNQ
57,59,Cắt Đôi Nỗi Sầu,Tăng Duy Tân & Drum7,5,8909382,-0.06%,https://www.youtube.com/watch?v=GpmOn4RyzZI
58,60,Basit Numaralar,Zerrin Özer,8,8857323,-0.07%,https://www.youtube.com/watch?v=OFWBSpsqYM8
59,44,Leke Prabhu Ka Naam,Arijit Singh & Nikhita Gandhi,2,8783666,-0.25%,https://www.youtube.com/watch?v=6GxXehkPyBs
60,72,El Jefe,Shakira & Fuerza Regida,8,8692607,0.01%,https://www.youtube.com/watch?v=7oTlx5YC2P4
61,56,Naa Ready,LV Revanth & Roll Rida & Ritesh G Rao,13,8632847,-0.13%,https://www.youtube.com/watch?v=szvt1vD0Uug
62,n/a,Gabbar Bhi Nachega (feat. Nidhi Sharma),Masoom Sharma & Ashu Twinkle,4,8531069,n/a,https://www.youtube.com/watch?v=afWNKI8g6is
63,70,Tattoo,Loreen,13,8341774,-0.04%,https://www.youtube.com/watch?v=Vul5zgC5Yvg
64,n/a,Y LLORO,Junior H,2,8338149,n/a,https://www.youtube.com/watch?v=a8M1Es4cI_4
65,76,Cheques,Shubh,17,8304508,-0.02%,https://www.youtube.com/watch?v=4tywp83zkmk
66,61,OJITOS ROJOS,Grupo Frontera & Ke Personajes,11,8250507,-0.12%,https://www.youtube.com/watch?v=LTE9ktAcSQg
67,71,Chal Tere Ishq Mein,Mithoon & Neeti Mohan & Vishal Mishra & Shahnaz Akhtar & Sahil Akhtar,12,8155328,-0.06%,https://www.youtube.com/watch?v=p_oYiDR6S0E
68,68,Super Shy,NewJeans,18,8071213,-0.08%,https://www.youtube.com/watch?v=ArmDp-zijuc
69,58,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,10,8048945,-0.16%,https://www.youtube.com/watch?v=fd3PJfv7SaY
70,75,ดาวหางฮัลเลย์,fellow fellow,8,7997437,-0.06%,https://www.youtube.com/watch?v=WtcKJtwMD2E
71,80,Cruel Summer,Taylor Swift,15,7964628,-0.04%,https://www.youtube.com/watch?v=ic8j13piAhQ
72,63,Chakalitos,Angi Fire & Tilin Insano,11,7879316,-0.15%,https://www.youtube.com/watch?v=QvNK9855A1E
73,79,Chulo pt. 2,Bad Gyal & Tokischa & Young Miko,15,7832170,-0.06%,https://www.youtube.com/watch?v=tnbpWZNAT_Y
74,85,What Jhumka ?,Arijit Singh & Jonita Gandhi & Ranveer Singh & Pritam & Madan Mohan & Amitabh Bhattacharya,15,7809313,-0.03%,https://www.youtube.com/watch?v=87JIOAX3njM
75,93,Smack That (feat. Eminem),Akon,2,7795927,0%,https://www.youtube.com/watch?v=bKDdT_nyP54
76,65,Five Nights at Freddy's,The Living Tombstone,2,7753292,-0.16%,https://www.youtube.com/watch?v=l18A5BOTlzE
77,78,Barbie Girl,Aqua,18,7748929,-0.08%,https://www.youtube.com/watch?v=ZyhrYis509A
78,64,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,6,7724051,-0.16%,https://www.youtube.com/watch?v=_6XzJPyAJDI
79,89,CCC (Remix),Michelle Maciel & Edén Muñoz & Panter Bélico,10,7709904,-0.04%,https://www.youtube.com/watch?v=Kl1bJR3JAKg
80,n/a,Main Nikla Gaddi Leke,Udit Narayan & Aditya Narayan & Mithoon,13,7702003,n/a,https://www.youtube.com/watch?v=2nK6WBcGPOw
81,n/a,Raja Ji,Pawan Singh & Shivani Singh,16,7673784,n/a,https://www.youtube.com/watch?v=Pz-zjcmvsAI
82,91,Baile do Bruxo,Tropa do Bruxo & DJ Ws da Igrejinha & SMU & Triz & Mc Menor Thalis,2,7665497,-0.03%,https://www.youtube.com/watch?v=ABotmndh6ro
83,69,penjaga hati,Nadhif Basalamah,3,7613691,-0.13%,https://www.youtube.com/watch?v=jia3fhBQ8qI
84,52,ERE,juan karlos,5,7611838,-0.29%,https://www.youtube.com/watch?v=sXUWCVbXQkA
85,n/a,Night Changes,One Direction,21,7603907,n/a,https://www.youtube.com/watch?v=syFZfO_wfMQ
86,n/a,Rewrite The Stars,Zendaya & Zac Efron,6,7594618,n/a,https://www.youtube.com/watch?v=yO28Z5_Eyls
87,92,El Amor de Mi Vida,Los Ángeles Azules & Maria Becerra,6,7573127,-0.04%,https://www.youtube.com/watch?v=CaSCapHZhc0
88,n/a,Eke Odhaniya,Pawan Singh & Shilpi Raj,1,7558035,n/a,https://www.youtube.com/watch?v=5BaAV6BmAag
89,n/a,Chupón,El Gudi & Yeri Mua & Jey F & Alan Dazmel & Oviña,1,7550991,n/a,https://www.youtube.com/watch?v=LPoKmpVLYuA
90,50,Style,Taylor Swift,2,7535328,-0.32%,https://www.youtube.com/watch?v=-CmadmM5cOk
91,82,ELOVRGA,Alex Favela & Grupo Marca Registrada & Joaquin Medina,7,7504293,-0.08%,https://www.youtube.com/watch?v=0Yhcf2ZWMZk
92,n/a,Agora Hills,Doja Cat,2,7489516,n/a,https://www.youtube.com/watch?v=0c66ksfigtU
93,n/a,पियवा दुलारे,Karishma Kakkar,1,7467477,n/a,https://www.youtube.com/watch?v=r9xpDjmhFwo
94,n/a,One Love,Shubh,1,7459455,n/a,https://www.youtube.com/watch?v=0pWsCiBvLOk
95,n/a,Cobra,Megan Thee Stallion,1,7438175,n/a,https://www.youtube.com/watch?v=DOZNRoL0310
96,90,Numb,Linkin Park,18,7429019,-0.06%,https://www.youtube.com/watch?v=kXYiU_JCYtU
97,97,Not Ramaiya Vastavaiya,Anirudh Ravichander & Vishal Dadlani & Shilpa Rao,11,7423049,-0.04%,https://www.youtube.com/watch?v=m3OtL4peEWU
98,n/a,Un Poco Loco,Luis Ángel Gómez Jaramillo & Gael García Bernal,3,7353923,n/a,https://www.youtube.com/watch?v=yZ7cBunq8xo
99,96,Snooze,SZA,11,7322525,-0.06%,https://www.youtube.com/watch?v=LDY_XyxBu8A
100,84,The Lost Soul Down (Slowed & Reverb),NBSPLV,16,7255109,-0.1%,https://www.youtube.com/watch?v=HoqSbJ03zgo
